treatment,game,round,time,id,side,valuation,bid,price,match_id,match_time,type,status
FullMoreS,1,1,2,7,Seller,83,100,,,,Manual,Expired
FullMoreS,1,1,3,18,Buyer,113,1,,,,Manual,Expired
FullMoreS,1,1,5,20,Buyer,108,35,,,,Manual,Expired
FullMoreS,1,1,5,11,Seller,93,150,,,,Manual,Expired
FullMoreS,1,1,5,31,Seller,113,130,,,,Manual,Expired
FullMoreS,1,1,7,8,Buyer,138,77,,,,Manual,Replaced
FullMoreS,1,1,7,16,Buyer,118,35,,,,Manual,Replaced
FullMoreS,1,1,8,3,Seller,73,375,,,,Manual,Replaced
FullMoreS,1,1,8,17,Seller,108,170,,,,Manual,Expired
FullMoreS,1,1,8,24,Seller,78,81,81.0,8.0,10.0,Manual,Accepted
FullMoreS,1,1,8,28,Seller,98,150,,,,Manual,Expired
FullMoreS,1,1,8,21,Seller,118,160,,,,Manual,Expired
FullMoreS,1,1,9,22,Buyer,103,25,,,,Manual,Expired
FullMoreS,1,1,9,30,Seller,108,150,,,,Manual,Expired
FullMoreS,1,1,9,25,Seller,83,99,,,,Manual,Replaced
FullMoreS,1,1,10,8,Buyer,138,81,81.0,24.0,10.0,Auto,Accepted
FullMoreS,1,1,14,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,1,14,7,Seller,83,100,,,,Manual,Replaced
FullMoreS,1,1,14,27,Seller,93,100,,,,Manual,Expired
FullMoreS,1,1,15,16,Buyer,118,50,,,,Manual,Expired
FullMoreS,1,1,15,20,Buyer,108,35,,,,Manual,Replaced
FullMoreS,1,1,16,25,Seller,83,95,,,,Manual,Expired
FullMoreS,1,1,16,3,Seller,73,150,,,,Manual,Replaced
FullMoreS,1,1,17,31,Seller,113,160,,,,Manual,Replaced
FullMoreS,1,1,17,11,Seller,93,200,,,,Manual,Expired
FullMoreS,1,1,18,15,Seller,103,120,,,,Manual,Expired
FullMoreS,1,1,18,10,Buyer,133,80,80.0,23.0,20.0,Manual,Accepted
FullMoreS,1,1,18,28,Seller,98,130,,,,Manual,Expired
FullMoreS,1,1,19,5,Seller,78,150,,,,Manual,Expired
FullMoreS,1,1,19,7,Seller,83,100,,,,Manual,Replaced
FullMoreS,1,1,19,22,Buyer,103,30,,,,Manual,Replaced
FullMoreS,1,1,20,23,Seller,73,80,80.0,10.0,20.0,Auto,Accepted
FullMoreS,1,1,23,18,Buyer,113,60,,,,Manual,Expired
FullMoreS,1,1,24,13,Seller,98,150,,,,Manual,Expired
FullMoreS,1,1,24,31,Seller,113,150,,,,Manual,Replaced
FullMoreS,1,1,24,20,Buyer,108,65,,,,Manual,Replaced
FullMoreS,1,1,25,7,Seller,83,100,,,,Manual,Replaced
FullMoreS,1,1,25,3,Seller,73,275,,,,Manual,Replaced
FullMoreS,1,1,25,27,Seller,93,120,,,,Manual,Expired
FullMoreS,1,1,25,32,Seller,118,300,,,,Manual,Expired
FullMoreS,1,1,26,25,Seller,83,95,,,,Manual,Expired
FullMoreS,1,1,26,21,Seller,118,150,,,,Manual,Expired
FullMoreS,1,1,26,26,Seller,88,100,,,,Manual,Expired
FullMoreS,1,1,27,22,Buyer,103,75,,,,Manual,Expired
FullMoreS,1,1,27,29,Seller,103,108,,,,Manual,Expired
FullMoreS,1,1,28,7,Seller,83,100,,,,Manual,Replaced
FullMoreS,1,1,29,15,Seller,103,110,,,,Manual,Replaced
FullMoreS,1,1,29,17,Seller,108,130,,,,Manual,Replaced
FullMoreS,1,1,31,20,Buyer,108,80,80.0,5.0,32.0,Manual,Accepted
FullMoreS,1,1,31,31,Seller,113,135,,,,Manual,Replaced
FullMoreS,1,1,31,9,Seller,88,95,,,,Manual,Replaced
FullMoreS,1,1,31,3,Seller,73,400,,,,Manual,Replaced
FullMoreS,1,1,32,11,Seller,93,150,,,,Manual,Expired
FullMoreS,1,1,32,5,Seller,78,80,80.0,20.0,32.0,Auto,Accepted
FullMoreS,1,1,37,7,Seller,83,94,,,,Manual,Replaced
FullMoreS,1,1,37,25,Seller,83,91,,,,Manual,Replaced
FullMoreS,1,1,37,30,Seller,108,300,,,,Manual,Expired
FullMoreS,1,1,37,22,Buyer,103,80,,,,Manual,Expired
FullMoreS,1,1,37,18,Buyer,113,65,,,,Manual,Expired
FullMoreS,1,1,37,3,Seller,73,500,,,,Manual,Expired
FullMoreS,1,1,37,21,Seller,118,140,,,,Manual,Expired
FullMoreS,1,1,38,16,Buyer,118,65,,,,Manual,Expired
FullMoreS,1,1,38,26,Seller,88,90,,,,Manual,Expired
FullMoreS,1,1,38,15,Seller,103,110,,,,Manual,Expired
FullMoreS,1,1,38,27,Seller,93,99,,,,Manual,Expired
FullMoreS,1,1,38,17,Seller,108,115,,,,Manual,Expired
FullMoreS,1,1,39,31,Seller,113,125,,,,Manual,Expired
FullMoreS,1,1,39,28,Seller,98,120,,,,Manual,Expired
FullMoreS,1,1,39,32,Seller,118,200,,,,Manual,Expired
FullMoreS,1,1,40,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,1,42,19,Seller,113,200,,,,Manual,Expired
FullMoreS,1,1,43,7,Seller,83,94,,,,Manual,Replaced
FullMoreS,1,1,44,13,Seller,98,100,,,,Manual,Expired
FullMoreS,1,1,46,25,Seller,83,89,,,,Manual,Expired
FullMoreS,1,1,46,12,Buyer,128,25,,,,Manual,Expired
FullMoreS,1,1,47,21,Seller,118,135,,,,Manual,Replaced
FullMoreS,1,1,47,7,Seller,83,90,,,,Manual,Replaced
FullMoreS,1,1,50,27,Seller,93,94,,,,Manual,Expired
FullMoreS,1,1,50,26,Seller,88,95,,,,Manual,Expired
FullMoreS,1,1,50,3,Seller,73,500,,,,Manual,Expired
FullMoreS,1,1,51,18,Buyer,113,70,,,,Manual,Expired
FullMoreS,1,1,51,31,Seller,113,130,,,,Manual,Replaced
FullMoreS,1,1,52,22,Buyer,103,80,,,,Manual,Expired
FullMoreS,1,1,53,15,Seller,103,110,,,,Manual,Replaced
FullMoreS,1,1,53,16,Buyer,118,65,,,,Manual,Expired
FullMoreS,1,1,53,7,Seller,83,87,,,,Manual,Replaced
FullMoreS,1,1,55,21,Seller,118,125,,,,Manual,Expired
FullMoreS,1,1,56,25,Seller,83,90,,,,Manual,Replaced
FullMoreS,1,1,56,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,1,56,7,Seller,83,88,,,,Manual,Replaced
FullMoreS,1,1,56,11,Seller,93,150,,,,Manual,Expired
FullMoreS,1,1,58,28,Seller,98,125,,,,Manual,Expired
FullMoreS,1,1,59,7,Seller,83,88,,,,Manual,Replaced
FullMoreS,1,1,60,26,Seller,88,90,,,,Manual,Replaced
FullMoreS,1,1,60,15,Seller,103,110,,,,Manual,Replaced
FullMoreS,1,1,60,13,Seller,98,100,,,,Manual,Expired
FullMoreS,1,1,60,31,Seller,113,120,,,,Manual,Expired
FullMoreS,1,1,61,19,Seller,113,125,,,,Manual,Replaced
FullMoreS,1,1,63,22,Buyer,103,80,,,,Manual,Replaced
FullMoreS,1,1,63,25,Seller,83,90,,,,Manual,Replaced
FullMoreS,1,1,64,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,1,64,27,Seller,93,98,,,,Manual,Expired
FullMoreS,1,1,64,16,Buyer,118,70,,,,Manual,Expired
